,Source,Target,Travel_time,Demand,Demand_per_minute,Routes,|V|,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9
301,0,1,11.0,74352.0,6759.272727272727,0-7-6-8-2-1*,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
303,0,1,12.0,74352.0,6196.0,0-6-7-8-2-1*,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
300,0,1,10.0,60823.0,6082.3,0-7-8-2-1*,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
324,0,1,16.0,49170.0,3073.125,0-7-6-8-9-1*,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
332,0,1,17.0,49170.0,2892.3529411764707,0-6-7-8-9-1*,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
751,0,2,11.0,86097.0,7827.0,0-7-6-8-5-2*,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
51,0,2,12.0,86097.0,7174.75,0-6-7-8-5-2*,6.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
43,0,2,11.0,65838.0,5985.272727272727,0-6-7-8-3-2*,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
54,0,2,13.0,64577.0,4967.461538461538,0-5-7-8-3-2*,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
735,0,2,8.0,61003.0,7625.375,0-7-6-8-2*,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
78,0,3,10.0,52451.0,5245.1,0-7-8-2-3*,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
84,0,3,11.0,52451.0,4768.272727272727,0-2-7-8-3*,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1116,0,3,13.0,51635.0,3971.923076923077,0-6-7-1-2-3*,6.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1114,0,3,11.0,38637.0,3512.4545454545455,0-7-1-2-3*,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1115,0,3,11.0,38637.0,3512.4545454545455,0-1-7-2-3*,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1313,0,4,12.0,62490.0,5207.5,0-7-6-8-2-4*,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
