,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0,10000,4,7,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,6
1,10000,0,10000,10000,10000,10000,10000,10000,10000,5,10000,5,10000,10000,10000,10000,3,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,5,10000
2,4,10000,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,7,10000,10000,10000,10000,10000,10000,10000,10000,6,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
3,7,10000,10000,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,5,10000,10000,10000,10000,10000,3,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,3,10000,10000,2
4,10000,10000,10000,10000,0,10000,10000,4,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
5,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,2,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,2,10000,4,10000,10000
6,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,7,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,6,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,6,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000
7,10000,10000,10000,10000,4,10000,10000,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,2,10000,10000,10000,10000,10000,3,7,10000,10000,10000,10000,10000,4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
8,10000,10000,10000,10000,10000,10000,10000,10000,0,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,2,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,4,10000,10000,5,3,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
9,10000,5,10000,10000,10000,10000,10000,10000,10000,0,10000,3,10000,10000,10000,10000,6,8,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,6,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,10000,10000,10000,10000,10000,10000,10000,10000,1,10000
